isbn13	titulo	link_detalle	link_imagen	materia	autor	editorial	fecha_pub	id_coleccion	autor_principal	link_indice	link_resenya	precio	tipo_iva	paginas
9788498762785	La situación jurídica de la víctima en el proceso penal	http://www.tirant.com/detalle?articulo=9788498762785	http://www.tirant.com/portadas/9788498762785.jpg	0100000000|0105000000|0105060000|0100000000|0117000000|0117010000|	|Ágata Sanz Hermida	Tirant lo Blanch	09/2008	51	Ágata Sanz Hermida	http://www.tirant.com/indexes/9788498762785.txt	http://www.tirant.com/resenyas/9788498762785-resenya.txt	22.00	3	397
9788498762921	Intervenciones corporales ilícitas : tutela penal	http://www.tirant.com/detalle?articulo=9788498762921	http://www.tirant.com/portadas/9788498762921.jpg	0100000000|0103000000|0103060000|0103060100|0100000000|0117000000|0117010000|	|Ángela Matallín Evangelio	Tirant lo Blanch	09/2008	63	Ángela Matallín Evangelio	http://www.tirant.com/indexes/9788498762921.txt	http://www.tirant.com/resenyas/9788498762921-resenya.txt	12.00	3	202
9788490043301	Introducción al Derecho procesal	http://www.tirant.com/detalle?articulo=9788490043301	http://www.tirant.com/portadas/9788490043301.jpg	0100000000|0105000000|0105010000|	|Victor Moreno Catena |Valentín Cortés Domínguez	Tirant lo Blanch	09/2011	2649	Victor Moreno Catena	http://www.tirant.com/indexes/9788490043301.txt	http://www.tirant.com/resenyas/9788490043301-resenya.txt	21.00	3	279
9788498762204	Teoría y técnica de la producción audiovisual	http://www.tirant.com/detalle?articulo=9788498762204	http://www.tirant.com/portadas/9788498762204.jpg	0300000000|0310000000|0310020000|0300000000|0319000000|	|José Javier Marzal Felici |Francisco López Cantos |José Aguilar García |Hugo Doménech Fabregat |María Soler Campillo |Pablo Ferrando García |Roberto Arnau Roselló |Andreu Casero Ripollés |Agustín Rubio Alcover |Cesáreo Fernández Fernández |Francisco Javie	Tirant lo Blanch	09/2008	2686	José Javier Marzal Felici	http://www.tirant.com/indexes/9788498762204.txt	http://www.tirant.com/resenyas/9788498762204-resenya.txt	21.00	3	500
9788498769067	Pensar nuestra sociedad globalizada	http://www.tirant.com/detalle?articulo=9788498769067	http://www.tirant.com/portadas/9788498769067.jpg	0100000000|0117000000|0117010000|0200000000|0204000000|	|Manuel García Ferrando |Antonio Ariño |Rafael Castelló Cogollos |Ernest García |Gil Manuel Hernàndez i Martí |Ramón LLopis |Pablo Oñate Rubalcaba |Fátima Perelló |José Manuel Rodríguez Victoriano |Antonio Santos |Inmaculada Serra Yoldi |Carles Simó |R. Xa	Tirant lo Blanch	09/2010	2666	Manuel García Ferrando	http://www.tirant.com/indexes/9788498769067.txt	http://www.tirant.com/resenyas/9788498769067-resenya.txt	19.00	3	374
9788498765861	Cursos Euromediterráneos Bancaja de Derecho Internacional Vol. VIII/IX 2004/2005	http://www.tirant.com/detalle?articulo=9788498765861	http://www.tirant.com/portadas/9788498765861.jpg	0100000000|0109000000|	|Jorge Cardona Llorens |y otros	Tirant lo Blanch	09/2009	2659	Jorge Cardona Llorens	http://www.tirant.com/indexes/9788498765861.txt	http://www.tirant.com/resenyas/9788498765861-resenya.txt	30.00	3	1204
9788490043103	Derecho Internacional Privado	http://www.tirant.com/detalle?articulo=9788490043103	http://www.tirant.com/portadas/9788490043103.jpg	0100000000|0109000000|0109020000|	|Carlos Esplugues Mota |José Luis Iglesias Buhigues	Tirant lo Blanch	09/2011	2651	Carlos Esplugues Mota	http://www.tirant.com/indexes/9788490043103.txt	http://www.tirant.com/resenyas/9788490043103-resenya.txt	18.00	3	525
9788498769364	Epítome de Derecho Romano	http://www.tirant.com/detalle?articulo=9788498769364	http://www.tirant.com/portadas/9788498769364.jpg	0100000000|0110000000|0110010000|	|Ricardo Panero Gutierrez	Tirant lo Blanch	09/2010	2652	Ricardo Panero Gutierrez	http://www.tirant.com/indexes/9788498769364.txt	http://www.tirant.com/resenyas/9788498769364-resenya.txt	20.40	3	428
9788498761825	Vademécum contable	http://www.tirant.com/detalle?articulo=9788498761825	http://www.tirant.com/portadas/9788498761825.jpg	0100000000|0106000000|0106010000|0100000000|0117000000|0117010000|0200000000|0203000000|0203010000|0200000000|0215000000|	|Irene Mª Chova Gil	Tirant lo Blanch	10/2008	2692	Irene Mª Chova Gil	http://www.tirant.com/indexes/9788498761825.txt	http://www.tirant.com/resenyas/9788498761825-resenya.txt	5.50	3	84
9788490041772	Derecho Jurisdiccional I Parte General	http://www.tirant.com/detalle?articulo=9788490041772	http://www.tirant.com/portadas/9788490041772.jpg	0100000000|0105000000|0105010000|	|Juan Montero Aroca |Juan Luis Gómez Colomer |Alberto Montón Redondo |Silvia Barona Vilar	Tirant lo Blanch	09/2011	2649	Juan Montero Aroca	http://www.tirant.com/indexes/9788490041772.txt	http://www.tirant.com/resenyas/9788490041772-resenya.txt	21.00	3	503
9788490042137	Políticas de marketing Teoría y práctica	http://www.tirant.com/detalle?articulo=9788490042137	http://www.tirant.com/portadas/9788490042137.jpg	0200000000|0202000000|0202030000|0202030300|0200000000|0215000000|	|Rafael Domingo Martínez Carrasco	Tirant lo Blanch	09/2011	2683	Rafael Domingo Martínez Carrasco	http://www.tirant.com/indexes/9788490042137.txt	http://www.tirant.com/resenyas/9788490042137-resenya.txt	18.50	3	335
9788498763034	El Caso de los Niños Perdidos del Franquismo . Crimen Contra la Humanidad	http://www.tirant.com/detalle?articulo=9788498763034	http://www.tirant.com/portadas/9788498763034.jpg	0100000000|0103000000|0103060000|0103060100|0100000000|0117000000|0117010000|	|Miguel Ángel Rodríguez Arias	Tirant lo Blanch	10/2008	39	Miguel Ángel Rodríguez Arias	http://www.tirant.com/indexes/9788498763034.txt	http://www.tirant.com/resenyas/9788498763034-resenya.txt	25.00	3	436
9788498762488	Tirant lo Blanch	http://www.tirant.com/detalle?articulo=9788498762488	http://www.tirant.com/portadas/9788498762488.jpg	0300000000|0311000000|0311020000|	|Joanot Martorell	Tirant lo Blanch	10/2008	2657	Joanot Martorell	http://www.tirant.com/indexes/9788498762488.txt	http://www.tirant.com/resenyas/9788498762488-resenya.txt	17.00	3	1658
